"År";"Norden unntatt Norge";"Vest-Europa unntatt Norden";"EU-land i Øst-Europa";"Øst-Europa unntatt EU-land";"Afrika";"Asia med Tyrkia";"Sør- og Mellom-Amerika";"Nord-Amerika og Oseania"
"1987";36092;27416;4847;3285;5308;27747;3297;11013
"1988";37680;27971;5333;3973;6745;34935;5037;11034
"1989";38168;28499;5821;4578;8439;41330;7102;10971
"1990";36194;27618;6410;5505;10069;47079;7633;10465
"1991";35372;26701;6802;6055;11032;51378;7752;10240
"1992";35596;26470;7147;6813;12428;54902;7872;10229
"1993";36125;26951;7446;8987;13416;58044;7954;10251
"1994";36923;26960;7726;16073;13992;59633;7893;10001
"1995";38366;27187;8012;19322;14427;60915;7929;9882
"1996";39297;27500;8382;21426;15036;62566;8043;9694
"1997";41237;27738;9219;21447;15617;64395;8219;9540
"1998";45319;28411;9697;21848;16620;67141;8521;9361
"1999";49677;29886;10199;22838;18444;71007;8842;9454
"2000";50570;31061;11486;29740;20767;76356;9233;9249
"2001";50526;31166;12308;30383;23118;83694;9752;8957
"2002";50470;31757;13397;30218;24991;89363;10192;8834
"2003";51135;32898;16008;30624;28612;98048;10838;9099
"2004";50701;33448;16498;32609;31578;103779;11386;9105
"2005";49937;34400;18560;34857;33972;108647;11812;8860
"2006";50287;35983;22544;36956;36762;114671;12405;8906
"2007";51066;38640;31487;38360;39495;120483;13090;9210
"2008";52972;43524;48293;40729;43031;128411;14024;9659
"2009";55626;49015;65517;42876;46392;137889;15091;10188
"2010";59087;52708;78183;44487;50769;147439;16035;10639
"2011";63030;56259;96606;45989;55593;155320;16746;10956
"2012";66677;60131;119707;47810;60243;163281;17696;11187
"2013";68501;64019;140677;50061;67571;171920;18814;11759
"2014";70282;67095;157728;52071;74283;179785;19853;12012
"2015";72078;70294;172391;54057;79930;187648;20782;12201
"2016";72462;72492;182028;55858;86089;196111;21127;12382
"2017";70925;72941;184942;57740;90502;213989;21537;12412
"2018";69752;73450;187423;59753;93735;227630;22173;12745
"2019";69445;75028;189604;61891;96054;236747;23068;13270
"2020";69243;77849;195400;64744;99538;245284;24383;14055
"2021";68970;79614;198246;65869;100464;247755;24947;14229
"2022";69019;83004;203444;67145;103078;253357;25659;14651
